Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,1,1
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,13,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,128,3
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,217,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,16,5
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits,339,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,19,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,112,3
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,187,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,18,5
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits,299,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,10,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,103,3
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,171,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,14,5
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits,281,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,8,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,115,3
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,151,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,7,5
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits,238,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,1,1
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,8,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,87,3
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,135,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,7,5
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,244,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,9,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,1,1
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,1,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,15,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,91,3
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,5,3
