Hospital,Date,CTAS1,CTAS2,CTAS3,CTAS4,CTAS5,total_ER,low_severity,low_ratio
Buchanan Memorial Community Health Centre,May-23,1,12,107,168,17,305,185,0.61
Buchanan Memorial Community Health Centre,Jun-23,0,13,138,148,15,314,163,0.52
Buchanan Memorial Community Health Centre,Jul-23,1,13,128,217,16,375,233,0.62
Buchanan Memorial Community Health Centre,Aug-23,0,19,112,187,18,336,205,0.61
Buchanan Memorial Community Health Centre,Sep-23,0,10,103,171,14,298,185,0.62
Buchanan Memorial Community Health Centre,Oct-23,0,8,115,151,7,281,158,0.56
Buchanan Memorial Community Health Centre,Nov-23,1,8,87,135,7,238,142,0.6
Buchanan Memorial Community Health Centre,Dec-23,1,16,96,130,10,253,140,0.55
Cape Breton Complex,Jan-23,51,1039,1550,941,89,3670,1030,0.28
Cape Breton Complex,Feb-23,30,909,1420,719,67,3145,786,0.25
Cape Breton Complex,Mar-23,27,981,1603,936,74,3621,1010,0.28
Cape Breton Complex,Apr-23,22,1068,1492,906,60,3548,966,0.27
Cape Breton Complex,May-23,33,1105,1736,987,82,3943,1069,0.27
Cape Breton Complex,Jun-23,32,1048,1631,908,51,3670,959,0.26
Cape Breton Complex,Jul-23,30,1020,1772,1065,75,3962,1140,0.29
Cape Breton Complex,Aug-23,40,1145,1642,914,130,3871,1044,0.27
Cape Breton Complex,Sep-23,45,1068,1514,867,90,3584,957,0.27
Cape Breton Complex,Oct-23,40,1104,1528,815,82,3569,897,0.25
Cape Breton Complex,Nov-23,41,1050,1567,793,46,3497,839,0.24
Cape Breton Complex,Dec-23,39,1126,1609,690,66,3530,756,0.21
Cobequid Community Health Centre,Jan-23,19,730,1696,1165,65,3675,1230,0.33
Cobequid Community Health Centre,Feb-23,12,641,1587,1103,76,3419,1179,0.34
Cobequid Community Health Centre,Mar-23,14,759,1921,1315,72,4081,1387,0.34
Cobequid Community Health Centre,Apr-23,24,733,1773,1404,82,4016,1486,0.37
Cobequid Community Health Centre,May-23,32,732,2019,1405,87,4275,1492,0.35
Cobequid Community Health Centre,Jun-23,24,825,1787,1276,99,4011,1375,0.34
Cobequid Community Health Centre,Jul-23,27,774,1849,1512,107,4269,1619,0.38
Cobequid Community Health Centre,Aug-23,19,822,1914,1447,86,4288,1533,0.36
Cobequid Community Health Centre,Sep-23,24,823,1740,1284,112,3983,1396,0.35
Cobequid Community Health Centre,Oct-23,28,907,1831,1405,87,4258,1492,0.35
Cobequid Community Health Centre,Nov-23,27,826,1847,1334,108,4142,1442,0.35
Cobequid Community Health Centre,Dec-23,16,812,1977,1401,116,4322,1517,0.35
Colchester East Hants Health Centre,Jan-23,19,677,1174,619,40,2529,659,0.26
Colchester East Hants Health Centre,Feb-23,18,644,1079,536,40,2317,576,0.25
Colchester East Hants Health Centre,Mar-23,12,836,1273,668,54,2843,722,0.25
Colchester East Hants Health Centre,Apr-23,17,889,1160,621,65,2752,686,0.25
Colchester East Hants Health Centre,May-23,11,933,1215,642,106,2907,748,0.26
Colchester East Hants Health Centre,Jun-23,23,849,1187,612,82,2753,694,0.25
Colchester East Hants Health Centre,Jul-23,24,960,1178,675,110,2947,785,0.27
Colchester East Hants Health Centre,Aug-23,10,831,1207,616,71,2735,687,0.25
Colchester East Hants Health Centre,Sep-23,20,821,1165,530,40,2576,570,0.22
Colchester East Hants Health Centre,Oct-23,17,827,1275,534,52,2705,586,0.22
Colchester East Hants Health Centre,Nov-23,18,807,1161,507,69,2562,576,0.22
Colchester East Hants Health Centre,Dec-23,23,792,1252,514,67,2648,581,0.22
Cumberland Regional Health Care Centre,Jan-23,3,201,695,575,60,1534,635,0.41
Cumberland Regional Health Care Centre,Feb-23,5,159,690,609,54,1517,663,0.44
Cumberland Regional Health Care Centre,Mar-23,1,109,768,819,68,1765,887,0.5
Cumberland Regional Health Care Centre,Apr-23,7,186,729,867,78,1867,945,0.51
Cumberland Regional Health Care Centre,May-23,3,173,742,887,87,1892,974,0.51
Cumberland Regional Health Care Centre,Jun-23,2,186,796,872,95,1951,967,0.5
Cumberland Regional Health Care Centre,Jul-23,4,189,829,1138,143,2303,1281,0.56
Cumberland Regional Health Care Centre,Aug-23,3,182,715,1178,126,2204,1304,0.59
Cumberland Regional Health Care Centre,Sep-23,4,183,703,1096,100,2086,1196,0.57
Cumberland Regional Health Care Centre,Oct-23,3,229,796,1221,123,2372,1344,0.57
Cumberland Regional Health Care Centre,Nov-23,2,179,780,1120,147,2228,1267,0.57
Cumberland Regional Health Care Centre,Dec-23,11,186,772,1131,116,2216,1247,0.56
Dartmouth General Hospital,Jan-23,29,1067,1640,815,37,3588,852,0.24
Dartmouth General Hospital,Feb-23,25,961,1427,747,38,3198,785,0.25
Dartmouth General Hospital,Mar-23,38,1126,1622,920,26,3732,946,0.25
Dartmouth General Hospital,Apr-23,27,1110,1734,946,35,3852,981,0.25
Dartmouth General Hospital,May-23,28,1236,1708,1097,38,4107,1135,0.28
Dartmouth General Hospital,Jun-23,29,1230,1590,965,27,3841,992,0.26
Dartmouth General Hospital,Jul-23,34,1374,1692,1092,42,4234,1134,0.27
Dartmouth General Hospital,Aug-23,34,1257,1765,1063,29,4148,1092,0.26
Dartmouth General Hospital,Sep-23,27,1200,1703,989,31,3950,1020,0.26
Dartmouth General Hospital,Oct-23,38,1262,1760,948,42,4050,990,0.24
Dartmouth General Hospital,Nov-23,37,1179,1657,846,34,3753,880,0.23
Dartmouth General Hospital,Dec-23,34,1183,1706,876,18,3817,894,0.23
Digby General Hospital,Jan-23,5,85,253,335,129,807,464,0.57
Digby General Hospital,Feb-23,1,77,210,232,88,608,320,0.53
Digby General Hospital,Mar-23,3,98,220,272,53,646,325,0.5
Digby General Hospital,Apr-23,5,98,306,347,119,875,466,0.53
Digby General Hospital,May-23,5,79,305,394,106,889,500,0.56
Digby General Hospital,Jun-23,4,91,273,455,59,882,514,0.58
Digby General Hospital,Jul-23,1,92,376,531,89,1089,620,0.57
Digby General Hospital,Aug-23,2,51,275,363,67,758,430,0.57
Digby General Hospital,Sep-23,5,61,258,371,62,757,433,0.57
Digby General Hospital,Oct-23,1,99,273,349,57,779,406,0.52
Digby General Hospital,Nov-23,0,72,211,239,51,573,290,0.51
Digby General Hospital,Dec-23,1,80,239,266,35,621,301,0.48
Eastern Memorial Hospital,Jan-23,0,1,10,44,1,56,45,0.8
Eastern Memorial Hospital,Feb-23,0,9,10,52,5,76,57,0.75
Eastern Memorial Hospital,Mar-23,0,7,11,32,7,57,39,0.68
Eastern Memorial Hospital,Apr-23,0,5,7,34,2,48,36,0.75
Eastern Memorial Hospital,May-23,0,6,14,42,10,72,52,0.72
Eastern Memorial Hospital,Jun-23,0,3,12,46,5,66,51,0.77
Eastern Memorial Hospital,Jul-23,0,9,16,46,9,80,55,0.69
Eastern Memorial Hospital,Aug-23,0,7,23,45,14,89,59,0.66
Eastern Memorial Hospital,Sep-23,0,3,21,37,6,67,43,0.64
Eastern Memorial Hospital,Oct-23,0,2,12,26,4,44,30,0.68
Eastern Memorial Hospital,Nov-23,0,2,23,43,5,73,48,0.66
Eastern Memorial Hospital,Dec-23,1,19,24,65,12,121,77,0.64
Eastern Shore Memorial Hospital,Jan-23,0,3,0,4,2,9,6,0.67
Eastern Shore Memorial Hospital,Feb-23,0,0,1,4,0,5,4,0.8
Eastern Shore Memorial Hospital,Mar-23,0,0,5,5,0,10,5,0.5
Eastern Shore Memorial Hospital,Apr-23,0,1,1,3,1,6,4,0.67
Eastern Shore Memorial Hospital,May-23,0,1,0,4,2,7,6,0.86
Eastern Shore Memorial Hospital,Jun-23,0,1,3,4,3,11,7,0.64
Eastern Shore Memorial Hospital,Jul-23,0,2,5,6,3,16,9,0.56
Eastern Shore Memorial Hospital,Aug-23,0,0,2,7,2,11,9,0.82
Eastern Shore Memorial Hospital,Sep-23,0,1,1,0,2,4,2,0.5
Eastern Shore Memorial Hospital,Oct-23,0,0,3,1,0,4,1,0.25
Eastern Shore Memorial Hospital,Nov-23,0,0,3,2,0,5,2,0.4
Eastern Shore Memorial Hospital,Dec-23,0,0,3,1,0,4,1,0.25
Fishermen's Memorial Hospital,Jan-23,1,43,346,407,15,812,422,0.52
Fishermen's Memorial Hospital,Feb-23,0,26,249,310,17,602,327,0.54
Fishermen's Memorial Hospital,Mar-23,0,30,244,328,26,628,354,0.56
Fishermen's Memorial Hospital,Apr-23,0,38,274,375,22,709,397,0.56
Fishermen's Memorial Hospital,May-23,1,42,358,490,24,915,514,0.56
Fishermen's Memorial Hospital,Jun-23,0,31,306,422,37,796,459,0.58
Fishermen's Memorial Hospital,Jul-23,0,27,301,497,31,856,528,0.62
Fishermen's Memorial Hospital,Aug-23,0,25,280,454,29,788,483,0.61
Fishermen's Memorial Hospital,Sep-23,1,26,243,355,22,647,377,0.58
Fishermen's Memorial Hospital,Oct-23,0,28,346,381,30,785,411,0.52
Fishermen's Memorial Hospital,Nov-23,0,19,241,371,21,652,392,0.6
Fishermen's Memorial Hospital,Dec-23,0,18,258,396,27,699,423,0.61
Guysborough Memorial Hospital,Jan-23,0,9,22,60,63,154,123,0.8
Guysborough Memorial Hospital,Feb-23,0,4,17,36,37,94,73,0.78
Guysborough Memorial Hospital,Mar-23,2,4,27,44,73,150,117,0.78
Guysborough Memorial Hospital,Apr-23,2,10,26,52,49,139,101,0.73
Guysborough Memorial Hospital,May-23,0,9,43,83,37,172,120,0.7
Guysborough Memorial Hospital,Jun-23,1,8,40,101,74,224,175,0.78
Guysborough Memorial Hospital,Jul-23,0,14,51,86,100,251,186,0.74
Guysborough Memorial Hospital,Aug-23,0,8,28,52,74,162,126,0.78
Guysborough Memorial Hospital,Sep-23,0,3,30,71,69,173,140,0.81
Guysborough Memorial Hospital,Oct-23,0,6,44,106,67,223,173,0.78
Guysborough Memorial Hospital,Nov-23,0,5,46,72,67,190,139,0.73
Guysborough Memorial Hospital,Dec-23,0,9,41,90,67,207,157,0.76
Hants Community Hospital,Jan-23,6,213,440,384,44,1087,428,0.39
Hants Community Hospital,Feb-23,5,196,446,352,42,1041,394,0.38
Hants Community Hospital,Mar-23,5,159,395,446,50,1055,496,0.47
Hants Community Hospital,Apr-23,13,193,536,557,34,1333,591,0.44
Hants Community Hospital,May-23,4,207,535,591,40,1377,631,0.46
Hants Community Hospital,Jun-23,6,200,503,524,38,1271,562,0.44
Hants Community Hospital,Jul-23,4,194,508,645,43,1394,688,0.49
Hants Community Hospital,Aug-23,5,166,400,400,39,1010,439,0.43
Hants Community Hospital,Sep-23,5,198,443,463,30,1139,493,0.43
Hants Community Hospital,Oct-23,5,225,534,506,13,1283,519,0.4
Hants Community Hospital,Nov-23,8,238,616,429,22,1313,451,0.34
Hants Community Hospital,Dec-23,5,205,570,548,26,1354,574,0.42
IWK Health Centre,Jan-23,32,814,1100,928,14,2888,942,0.33
IWK Health Centre,Feb-23,12,824,1105,1107,20,3068,1127,0.37
IWK Health Centre,Mar-23,18,821,1279,1390,38,3546,1428,0.4
IWK Health Centre,Apr-23,22,800,1333,1461,36,3652,1497,0.41
IWK Health Centre,May-23,12,797,1454,1505,47,3815,1552,0.41
IWK Health Centre,Jun-23,22,668,1229,1314,44,3277,1358,0.41
IWK Health Centre,Jul-23,22,718,1088,1278,69,3175,1347,0.42
IWK Health Centre,Aug-23,18,615,845,1061,70,2609,1131,0.43
IWK Health Centre,Sep-23,17,753,964,1146,48,2928,1194,0.41
IWK Health Centre,Oct-23,17,874,1141,1285,48,3365,1333,0.4
IWK Health Centre,Nov-23,24,1115,1298,1520,34,3991,1554,0.39
IWK Health Centre,Dec-23,16,1160,1338,1541,35,4090,1576,0.39
Inverness Consolidated Memorial Hospital,Jan-23,3,80,303,439,41,866,480,0.55
Inverness Consolidated Memorial Hospital,Feb-23,2,66,214,329,39,650,368,0.57
Inverness Consolidated Memorial Hospital,Mar-23,4,93,254,383,52,786,435,0.55
Inverness Consolidated Memorial Hospital,Apr-23,0,101,248,498,49,896,547,0.61
Inverness Consolidated Memorial Hospital,May-23,4,100,298,579,50,1031,629,0.61
Inverness Consolidated Memorial Hospital,Jun-23,5,94,342,467,55,963,522,0.54
Inverness Consolidated Memorial Hospital,Jul-23,6,132,377,616,98,1229,714,0.58
Inverness Consolidated Memorial Hospital,Aug-23,3,130,325,599,97,1154,696,0.6
Inverness Consolidated Memorial Hospital,Sep-23,3,108,301,475,70,957,545,0.57
Inverness Consolidated Memorial Hospital,Oct-23,3,121,313,495,74,1006,569,0.57
Inverness Consolidated Memorial Hospital,Nov-23,2,73,295,481,38,889,519,0.58
Inverness Consolidated Memorial Hospital,Dec-23,0,53,333,509,31,926,540,0.58
Lillian Fraser Memorial Hospital,Jan-23,0,5,65,376,76,522,452,0.87
Lillian Fraser Memorial Hospital,Feb-23,0,3,56,390,124,573,514,0.9
Lillian Fraser Memorial Hospital,Mar-23,0,8,25,476,127,636,603,0.95
Lillian Fraser Memorial Hospital,Apr-23,0,5,47,488,120,660,608,0.92
Lillian Fraser Memorial Hospital,May-23,0,9,23,543,75,650,618,0.95
Lillian Fraser Memorial Hospital,Jun-23,0,5,28,411,85,529,496,0.94
Lillian Fraser Memorial Hospital,Jul-23,0,5,21,395,71,492,466,0.95
Lillian Fraser Memorial Hospital,Aug-23,0,3,38,436,101,578,537,0.93
Lillian Fraser Memorial Hospital,Sep-23,0,0,12,173,45,230,218,0.95
Lillian Fraser Memorial Hospital,Oct-23,0,6,35,244,77,362,321,0.89
Lillian Fraser Memorial Hospital,Nov-23,0,1,12,89,9,111,98,0.88
Lillian Fraser Memorial Hospital,Dec-23,0,0,0,1,0,1,1,1
North Cumberland Memorial Hospital,Jan-23,1,11,71,368,118,569,486,0.85
North Cumberland Memorial Hospital,Feb-23,0,10,62,333,77,482,410,0.85
North Cumberland Memorial Hospital,Mar-23,0,9,71,381,96,557,477,0.86
North Cumberland Memorial Hospital,Apr-23,0,8,51,259,99,417,358,0.86
North Cumberland Memorial Hospital,May-23,0,9,75,333,113,530,446,0.84
North Cumberland Memorial Hospital,Jun-23,0,4,54,211,82,351,293,0.83
North Cumberland Memorial Hospital,Jul-23,0,6,33,175,81,295,256,0.87
North Cumberland Memorial Hospital,Aug-23,0,13,55,306,76,450,382,0.85
North Cumberland Memorial Hospital,Sep-23,0,21,72,352,70,515,422,0.82
North Cumberland Memorial Hospital,Oct-23,0,12,69,364,76,521,440,0.84
North Cumberland Memorial Hospital,Nov-23,0,7,68,226,64,365,290,0.79
North Cumberland Memorial Hospital,Dec-23,0,8,36,122,18,184,140,0.76
QEII,Jan-23,109,2029,2741,638,54,5571,692,0.12
QEII,Feb-23,88,1896,2552,525,43,5104,568,0.11
QEII,Mar-23,122,2225,2920,676,62,6005,738,0.12
QEII,Apr-23,128,2269,3084,601,39,6121,640,0.1
QEII,May-23,150,2218,2996,648,40,6052,688,0.11
QEII,Jun-23,139,2148,3140,720,41,6188,761,0.12
QEII,Jul-23,145,2348,3342,683,43,6561,726,0.11
QEII,Aug-23,153,2328,3290,710,58,6539,768,0.12
QEII,Sep-23,132,2130,3231,809,70,6372,879,0.14
QEII,Oct-23,148,2264,3285,751,55,6503,806,0.12
QEII,Nov-23,130,2255,2895,769,58,6107,827,0.14
QEII,Dec-23,149,2254,3118,673,55,6249,728,0.12
Queens General Hospital,Jan-23,0,39,312,418,37,806,455,0.56
Queens General Hospital,Feb-23,2,41,250,326,35,654,361,0.55
Queens General Hospital,Mar-23,0,40,274,297,38,649,335,0.52
Queens General Hospital,Apr-23,0,39,256,368,37,700,405,0.58
Queens General Hospital,May-23,1,49,336,410,37,833,447,0.54
Queens General Hospital,Jun-23,0,47,361,380,33,821,413,0.5
Queens General Hospital,Jul-23,1,63,338,434,39,875,473,0.54
Queens General Hospital,Aug-23,0,56,349,430,45,880,475,0.54
Queens General Hospital,Sep-23,0,63,335,396,26,820,422,0.51
Queens General Hospital,Oct-23,3,69,399,324,50,845,374,0.44
Queens General Hospital,Nov-23,0,77,348,281,31,737,312,0.42
Queens General Hospital,Dec-23,0,81,403,285,23,792,308,0.39
Roseway Hospital,Jan-23,0,30,271,475,49,825,524,0.64
Roseway Hospital,Feb-23,0,25,214,376,36,651,412,0.63
Roseway Hospital,Mar-23,1,17,219,401,32,670,433,0.65
Roseway Hospital,Apr-23,0,23,247,412,34,716,446,0.62
Roseway Hospital,May-23,0,23,249,388,34,694,422,0.61
Roseway Hospital,Jun-23,0,18,201,275,21,515,296,0.57
Roseway Hospital,Jul-23,2,19,221,485,31,758,516,0.68
Roseway Hospital,Aug-23,0,19,135,290,22,466,312,0.67
Roseway Hospital,Sep-23,0,17,156,285,19,477,304,0.64
Roseway Hospital,Oct-23,0,16,187,355,29,587,384,0.65
Roseway Hospital,Nov-23,0,21,149,340,18,528,358,0.68
Roseway Hospital,Dec-23,0,21,162,320,22,525,342,0.65
Sacred Heart Community Health Centre,Jan-23,0,14,70,138,32,254,170,0.67
Sacred Heart Community Health Centre,Feb-23,0,10,67,86,19,182,105,0.58
Sacred Heart Community Health Centre,Mar-23,1,18,57,108,19,203,127,0.63
Sacred Heart Community Health Centre,Apr-23,1,6,74,154,20,255,174,0.68
Sacred Heart Community Health Centre,May-23,0,26,88,158,24,296,182,0.61
Sacred Heart Community Health Centre,Jun-23,0,13,75,120,27,235,147,0.63
Sacred Heart Community Health Centre,Jul-23,0,22,110,178,53,363,231,0.64
Sacred Heart Community Health Centre,Aug-23,2,14,95,148,29,288,177,0.61
Sacred Heart Community Health Centre,Sep-23,0,22,84,124,32,262,156,0.6
Sacred Heart Community Health Centre,Oct-23,0,20,84,125,25,254,150,0.59
Sacred Heart Community Health Centre,Nov-23,1,13,74,91,33,212,124,0.58
Sacred Heart Community Health Centre,Dec-23,0,19,98,94,44,255,138,0.54
Soldiers' Memorial Hospital,Jan-23,0,18,102,300,40,460,340,0.74
Soldiers' Memorial Hospital,Feb-23,0,20,81,209,46,356,255,0.72
Soldiers' Memorial Hospital,Mar-23,0,21,96,279,23,419,302,0.72
Soldiers' Memorial Hospital,Apr-23,0,27,114,386,40,567,426,0.75
Soldiers' Memorial Hospital,May-23,0,21,148,461,51,681,512,0.75
Soldiers' Memorial Hospital,Jun-23,2,40,116,326,46,530,372,0.7
Soldiers' Memorial Hospital,Jul-23,0,18,70,174,28,290,202,0.7
Soldiers' Memorial Hospital,Aug-23,0,20,121,262,50,453,312,0.69
Soldiers' Memorial Hospital,Sep-23,0,28,104,212,26,370,238,0.64
Soldiers' Memorial Hospital,Oct-23,0,50,179,369,40,638,409,0.64
Soldiers' Memorial Hospital,Nov-23,0,39,173,340,30,582,370,0.64
Soldiers' Memorial Hospital,Dec-23,1,38,163,369,16,587,385,0.66
South Shore Regional Hospital,Jan-23,12,223,779,391,20,1425,411,0.29
South Shore Regional Hospital,Feb-23,8,222,725,366,16,1337,382,0.29
South Shore Regional Hospital,Mar-23,10,254,913,475,14,1666,489,0.29
South Shore Regional Hospital,Apr-23,17,265,887,511,17,1697,528,0.31
South Shore Regional Hospital,May-23,6,254,1004,503,18,1785,521,0.29
South Shore Regional Hospital,Jun-23,8,291,953,504,25,1781,529,0.3
South Shore Regional Hospital,Jul-23,13,308,1083,608,33,2045,641,0.31
South Shore Regional Hospital,Aug-23,9,261,974,544,30,1818,574,0.32
South Shore Regional Hospital,Sep-23,12,287,920,467,25,1711,492,0.29
South Shore Regional Hospital,Oct-23,7,259,963,409,18,1656,427,0.26
South Shore Regional Hospital,Nov-23,13,286,856,427,27,1609,454,0.28
South Shore Regional Hospital,Dec-23,4,275,904,444,12,1639,456,0.28
St. Martha's Regional Hospital,Jan-23,5,219,811,666,30,1731,696,0.4
St. Martha's Regional Hospital,Feb-23,4,189,669,503,21,1386,524,0.38
St. Martha's Regional Hospital,Mar-23,5,218,827,696,29,1775,725,0.41
St. Martha's Regional Hospital,Apr-23,3,204,825,703,28,1763,731,0.41
St. Martha's Regional Hospital,May-23,4,218,830,686,17,1755,703,0.4
St. Martha's Regional Hospital,Jun-23,1,201,766,603,16,1587,619,0.39
St. Martha's Regional Hospital,Jul-23,2,236,782,783,25,1828,808,0.44
St. Martha's Regional Hospital,Aug-23,3,202,771,758,33,1767,791,0.45
St. Martha's Regional Hospital,Sep-23,4,207,799,650,45,1705,695,0.41
St. Martha's Regional Hospital,Oct-23,2,230,776,701,31,1740,732,0.42
St. Martha's Regional Hospital,Nov-23,4,269,797,563,40,1673,603,0.36
St. Martha's Regional Hospital,Dec-23,4,238,792,638,42,1714,680,0.4
St. Mary's Memorial Hospital,Jan-23,0,3,23,88,41,155,129,0.83
St. Mary's Memorial Hospital,Feb-23,0,5,30,74,49,158,123,0.78
St. Mary's Memorial Hospital,Mar-23,0,7,38,85,47,177,132,0.75
St. Mary's Memorial Hospital,Apr-23,0,6,33,92,52,183,144,0.79
St. Mary's Memorial Hospital,May-23,0,9,39,127,53,228,180,0.79
St. Mary's Memorial Hospital,Jun-23,0,11,35,103,63,212,166,0.78
St. Mary's Memorial Hospital,Jul-23,1,13,41,99,47,201,146,0.73
St. Mary's Memorial Hospital,Aug-23,1,4,33,117,36,191,153,0.8
St. Mary's Memorial Hospital,Sep-23,0,5,43,88,28,164,116,0.71
St. Mary's Memorial Hospital,Oct-23,0,8,52,90,28,178,118,0.66
St. Mary's Memorial Hospital,Nov-23,0,2,45,105,24,176,129,0.73
St. Mary's Memorial Hospital,Dec-23,1,7,34,128,26,196,154,0.79
Strait Richmond Hospital,Jan-23,1,38,94,158,41,332,199,0.6
Strait Richmond Hospital,Feb-23,0,18,89,143,34,284,177,0.62
Strait Richmond Hospital,Mar-23,0,52,111,139,39,341,178,0.52
Strait Richmond Hospital,Apr-23,4,34,110,182,47,377,229,0.61
Strait Richmond Hospital,May-23,3,54,140,174,31,402,205,0.51
Strait Richmond Hospital,Jun-23,0,42,155,205,67,469,272,0.58
Strait Richmond Hospital,Jul-23,3,18,126,211,56,414,267,0.64
Strait Richmond Hospital,Aug-23,0,35,119,228,66,448,294,0.66
Strait Richmond Hospital,Sep-23,0,30,108,136,39,313,175,0.56
Strait Richmond Hospital,Oct-23,1,34,123,204,29,391,233,0.6
Strait Richmond Hospital,Nov-23,2,34,163,215,50,464,265,0.57
Strait Richmond Hospital,Dec-23,0,19,95,154,27,295,181,0.61
Twin Oaks Memorial Hospital,Jan-23,0,71,226,438,38,773,476,0.62
Twin Oaks Memorial Hospital,Feb-23,2,44,190,353,28,617,381,0.62
Twin Oaks Memorial Hospital,Mar-23,0,49,213,352,24,638,376,0.59
Twin Oaks Memorial Hospital,Apr-23,2,54,221,302,24,603,326,0.54
Twin Oaks Memorial Hospital,May-23,0,60,225,279,35,599,314,0.52
Twin Oaks Memorial Hospital,Jun-23,0,51,233,329,27,640,356,0.56
Twin Oaks Memorial Hospital,Jul-23,1,56,229,388,51,725,439,0.61
Twin Oaks Memorial Hospital,Aug-23,0,79,297,384,44,804,428,0.53
Twin Oaks Memorial Hospital,Sep-23,0,67,233,367,27,694,394,0.57
Twin Oaks Memorial Hospital,Oct-23,0,74,305,418,30,827,448,0.54
Twin Oaks Memorial Hospital,Nov-23,0,49,242,392,21,704,413,0.59
Twin Oaks Memorial Hospital,Dec-23,1,70,270,431,17,789,448,0.57
Valley Regional Hospital,Jan-23,18,877,1433,1092,94,3514,1186,0.34
Valley Regional Hospital,Feb-23,17,836,1238,1005,88,3184,1093,0.34
Valley Regional Hospital,Mar-23,12,865,1593,1201,104,3775,1305,0.35
Valley Regional Hospital,Apr-23,18,802,1524,1343,133,3820,1476,0.39
Valley Regional Hospital,May-23,14,919,1650,1351,140,4074,1491,0.37
Valley Regional Hospital,Jun-23,10,811,1583,1465,124,3993,1589,0.4
Valley Regional Hospital,Jul-23,20,885,1727,1749,156,4537,1905,0.42
Valley Regional Hospital,Aug-23,8,911,1706,1546,141,4312,1687,0.39
Valley Regional Hospital,Sep-23,11,951,1541,1439,112,4054,1551,0.38
Valley Regional Hospital,Oct-23,15,963,1690,1398,124,4190,1522,0.36
Valley Regional Hospital,Nov-23,20,943,1662,1306,119,4050,1425,0.35
Valley Regional Hospital,Dec-23,24,1027,1640,1292,84,4067,1376,0.34
Victoria County Memorial Hospital,Jan-23,0,29,77,391,75,572,466,0.81
Victoria County Memorial Hospital,Feb-23,0,13,60,320,74,467,394,0.84
Victoria County Memorial Hospital,Mar-23,0,16,78,399,121,614,520,0.85
Victoria County Memorial Hospital,Apr-23,0,31,148,376,83,638,459,0.72
Victoria County Memorial Hospital,May-23,0,19,184,477,40,720,517,0.72
Victoria County Memorial Hospital,Jun-23,0,29,160,408,40,637,448,0.7
Victoria County Memorial Hospital,Jul-23,0,12,188,456,77,733,533,0.73
