Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,15,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,111,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,508,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,63,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits,675,
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,16,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,109,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,455,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,84,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits,517,
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,10,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,85,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,361,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,54,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits,379,
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,12,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,61,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,272,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,29,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits,219,
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,6,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,30,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,152,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,25,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits,143,
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,3,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,22,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,102,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,16,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits,176,
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,5,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,25,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,121,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,24,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits,226,
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,2,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,4,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,124,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,96,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits,232,
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,1,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,8,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,120,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,103,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits,245,
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,10,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,140,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,95,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits,204,
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,7,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,107,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,90,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits,252,
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,18,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,133,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,101,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits,238,
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,10,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,138,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,90,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-07-01,Emergency Visits,200,
Western,Annapolis Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,5,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,102,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-07-01,Emergency Visits CTAS,92,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-08-01,Emergency Visits,214,
Western,Annapolis Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,15,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,129,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-08-01,Emergency Visits CTAS,70,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-09-01,Emergency Visits,196,
Western,Annapolis Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,1,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,20,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,97,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,77,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-10-01,Emergency Visits,192,
Western,Annapolis Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,0,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,23,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,110,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,54,5.0
